"url","text","date","month_year"
"https://www.boj.or.jp/en/mopo/mpmdeci/mpr_1998/k980116.htm","Bank of Japan (For immediate release) The Bank today held a Monetary Policy Meeting, a regular meeting of the Policy Board on monetary policy. By unanimous vote, the Policy Board decided to leave monetary policy unchanged.",1998-01-16,"1998-01"
"https://www.boj.or.jp/en/mopo/mpmdeci/mpr_1998/k980213.htm","Bank of Japan (For immediate release) The Bank today held a Monetary Policy Meeting, a regular meeting of the Policy Board on monetary policy. By unanimous vote, the Policy Board decided to leave monetary policy unchanged.",1998-02-13,"1998-02"
"https://www.boj.or.jp/en/mopo/mpmdeci/mpr_1998/k980226.htm","Bank of Japan (For immediate release) The Bank today held a Monetary Policy Meeting, a regular meeting of the Policy Board on monetary policy. By unanimous vote, the Policy Board decided to leave monetary policy unchanged. ",1998-02-26,"1998-02"
"https://www.boj.or.jp/en/mopo/mpmdeci/mpr_1998/k980313.htm","Bank of Japan (For immediate release) The Bank today held a Monetary Policy Meeting, a regular meeting of the Policy Board on monetary policy. By unanimous vote, the Policy Board decided to leave monetary policy unchanged. ",1998-03-13,"1998-03"
"https://www.boj.or.jp/en/mopo/mpmdeci/mpr_1998/k980326.htm","Bank of Japan (For immediate release) The Bank today held a Monetary Policy Meeting, a regular meeting of the Policy Board on monetary policy. By unanimous vote, the Policy Board decided to leave monetary policy unchanged. ",1998-03-26,"1998-03"
"https://www.boj.or.jp/en/mopo/mpmdeci/mpr_1998/k980409.htm","Bank of Japan (For immediate release) The Bank today held a Monetary Policy Meeting, a regular meeting of the Policy Board on monetary policy. By unanimous vote, the Policy Board decided to leave monetary policy unchanged. ",1998-04-09,"1998-04"
"https://www.boj.or.jp/en/mopo/mpmdeci/mpr_1998/k980424.htm","Bank of Japan (For immediate release) The Bank today held a Monetary Policy Meeting, a regular meeting of the Policy Board on monetary policy. By unanimous vote, the Policy Board decided to leave monetary policy unchanged. ",1998-04-24,"1998-04"
"https://www.boj.or.jp/en/mopo/mpmdeci/mpr_1998/k980519.htm","Bank of Japan (For immediate release) The Bank today held a Monetary Policy Meeting, a regular meeting of the Policy Board on monetary policy. By unanimous vote, the Policy Board decided to leave monetary policy unchanged. ",1998-05-19,"1998-05"
"https://www.boj.or.jp/en/mopo/mpmdeci/mpr_1998/k980612.htm","Bank of Japan (For immediate release) The Bank today held a Monetary Policy Meeting, a regular meeting of the Policy Board on monetary policy. By majority vote, the Policy Board decided to leave monetary policy unchanged. ",1998-06-12,"1998-06"
"https://www.boj.or.jp/en/mopo/mpmdeci/mpr_1998/k980625.htm","Bank of Japan (For immediate release) The Bank today held a Monetary Policy Meeting, a regular meeting of the Policy Board on monetary policy. By majority vote, the Policy Board decided to leave monetary policy unchanged. ",1998-06-25,"1998-06"
"https://www.boj.or.jp/en/mopo/mpmdeci/mpr_1998/k980716.htm","Bank of Japan (For immediate release) The Bank today held a Monetary Policy Meeting, a regular meeting of the Policy Board on monetary policy. By majority vote, the Policy Board decided to leave monetary policy unchanged. ",1998-07-16,"1998-07"
"https://www.boj.or.jp/en/mopo/mpmdeci/mpr_1998/k980728.htm","Bank of Japan (For immediate release) The Bank today held a Monetary Policy Meeting, a regular meeting of the Policy Board on monetary policy. By majority vote, the Policy Board decided to leave monetary policy unchanged.",1998-07-28,"1998-07"
"https://www.boj.or.jp/en/mopo/mpmdeci/mpr_1998/k980811.htm","Bank of Japan (For immediate release) The Bank today held a Monetary Policy Meeting, a regular meeting of the Policy Board on monetary policy. By majority vote, the Policy Board decided to leave monetary policy unchanged. ",1998-08-11,"1998-08"
